grant_number;in_cruz_list
2317747;TRUE
2317780;TRUE
2317832;FALSE
2317971;FALSE
2318247;TRUE
2318257;TRUE
2318258;TRUE
2318259;TRUE
2318260;TRUE
2318261;TRUE
2318293;TRUE
2318338;TRUE
2318357;TRUE
2318513;TRUE
2318841;FALSE
2319512;TRUE
2319639;TRUE
2319810;FALSE
2319989;FALSE
2320742;TRUE
2320884;TRUE
2321219;TRUE
2321243;TRUE
2321390;TRUE
2321391;TRUE
2321633;FALSE
2321649;FALSE
2321914;FALSE
2321946;TRUE
2322026;FALSE
2322329;TRUE
2322496;TRUE
2322705;FALSE
2322915;FALSE
2323037;TRUE
2323131;TRUE
2323794;FALSE
2323795;FALSE
2324616;TRUE
2324657;TRUE
2324696;TRUE
2324987;TRUE
2325090;FALSE
2325183;FALSE
2325476;TRUE
2325593;TRUE
2325683;FALSE
2326134;TRUE
2326588;FALSE
2326704;TRUE
2326811;TRUE
2327257;TRUE
2327314;TRUE
2327319;TRUE
2327488;TRUE
2327579;TRUE
2327593;FALSE
2327594;FALSE
2327599;FALSE
2328610;TRUE
2329394;TRUE
2329420;TRUE
2329425;FALSE
2329538;TRUE
2329570;TRUE
2330332;TRUE
2330886;TRUE
2330910;TRUE
2330922;TRUE
2330923;TRUE
2330924;TRUE
2330963;FALSE
2331010;FALSE
2331066;TRUE
2331116;TRUE
2331195;TRUE
2331216;FALSE
2331217;FALSE
2331287;TRUE
2331458;FALSE
2331874;TRUE
2332102;FALSE
2332232;TRUE
2332263;TRUE
2332592;TRUE
2332964;TRUE
2333261;FALSE
2333262;FALSE
2333270;FALSE
2333494;TRUE
2333737;TRUE
2333740;TRUE
2333790;TRUE
2333959;TRUE
2333985;FALSE
2334059;TRUE
2334206;TRUE
2334272;TRUE
2334298;TRUE
2334340;TRUE
2334679;TRUE
2334832;TRUE
2334951;TRUE
2334952;TRUE
2334953;TRUE
2334954;TRUE
2334955;TRUE
2335206;FALSE
2335225;TRUE
2335235;TRUE
2335236;TRUE
2335532;FALSE
2335901;FALSE
2336484;TRUE
2336572;FALSE
2336806;TRUE
2336815;TRUE
2337293;TRUE
2338556;TRUE
2338735;FALSE
2339462;TRUE
2339619;FALSE
2340108;FALSE
2341036;TRUE
2341434;TRUE
2341629;FALSE
2341739;FALSE
2341740;FALSE
2341831;FALSE
2341996;FALSE
2342099;FALSE
2342438;FALSE
2342547;TRUE
2342624;FALSE
2342625;FALSE
2342626;FALSE
2342627;FALSE
2342766;FALSE
2342767;FALSE
2342768;FALSE
2342769;FALSE
2342770;FALSE
2342771;FALSE
2342772;FALSE
2342842;FALSE
2343111;FALSE
2343112;FALSE
2343113;FALSE
2343235;TRUE
2343236;TRUE
2343292;FALSE
2343306;TRUE
2343858;FALSE
2343966;FALSE
2343972;FALSE
2345110;FALSE
2345121;FALSE
2345129;FALSE
2345739;FALSE
2346166;FALSE
2346653;TRUE
2346845;FALSE
2346905;FALSE
2346906;FALSE
2347034;FALSE
2347076;FALSE
2347101;FALSE
2347112;FALSE
2347276;FALSE
2347281;FALSE
2347360;FALSE
2347361;FALSE
2348326;FALSE
2348374;FALSE
2348705;FALSE
2348836;FALSE
2348945;FALSE
2349282;TRUE
2349503;FALSE
2349605;FALSE
2350008;FALSE
2400502;FALSE
2400839;FALSE
